Storm Name,Storm Level,Casualties,Location
Allison,3,220,Nashville
Ramon,3,134,Irving
Danny,1,50,Jersey City
Sofia,1,18,Detroit
Chad,2,163,Louisville
Aiden,4,187,Lincoln
Sabina,3,154,Santa Ana
Domenic,2,269,Las Vegas
Rowan,2,164,Philadelphia
Harry,2,183,San Francisco
Lara,1,139,San Diego
Janelle,1,96,Toledo
Javier,4,119,Nashville
Kieth,3,113,Fullerton
Christine,1,27,St. Louis
Aeris,4,203,Oakland
Marvin,1,79,San Bernardino
Chester,1,286,New Orleans
Sarah,1,241,Baltimore
Harry,4,69,Las Vegas
Eduardo,4,194,Ontario
Alan,1,47,Arlington
Charlotte,2,184,Orlando
Doug,3,164,Zurich
Cristal,3,253,Pittsburgh
Nathan,2,88,Amarillo
Doris,3,213,Quebec
Javier,3,55,Lincoln
Gabriel,1,206,Madrid
Aleksandra,2,101,Jacksonville
Chuck,2,264,Albuquerque
Fiona,1,288,Richmond
Mabel,4,64,Worcester
Makena,3,184,Colorado Springs
Lillian,2,149,Anaheim
Mason,1,138,Oklahoma City
Ramon,1,156,New Orleans
Remy,4,149,Lincoln
Andie,3,10,Fremont
Elijah,4,34,Valetta
Bryon,4,168,Berlin
Bob,4,77,Milano
Wade,3,134,Boston
Vicky,2,201,San Bernardino
Rose,1,170,Washington
Rocco,2,261,Baltimore
Drew,4,17,Moreno Valley
Rihanna,2,182,San Diego
Cedrick,3,0,Houston
Paige,1,248,Rochester
Mabel,1,78,Kansas City
Ethan,1,72,Toledo
Carl,1,138,Norfolk
Johnny,3,210,Saint Paul
Russel,3,35,Irving
Henry,1,240,Toledo
Ron,3,202,San Bernardino
Harry,3,255,Columbus
Aileen,1,155,Madrid
Maria,1,8,Tallahassee
Lily,2,70,Las Vegas
Elijah,1,176,New York
Lynn,2,46,Dallas
Jazmin,2,181,Zurich
Georgia,4,29,Richmond
Mackenzie,1,220,Lancaster
Thea,1,157,Laredo
Alan,2,211,Seattle
Clint,1,285,Rome
Rosie,1,262,Honolulu
Caleb,2,202,Madrid
Ronald,2,23,Los Angeles
Lynn,2,292,Madison
Noah,4,294,Fullerton
Rihanna,3,69,Huntsville
Vivian,4,172,Prague
Rihanna,2,251,Salt Lake City
Clint,2,42,Venice
Vicky,2,290,Fort Lauderdale
Javier,1,144,Indianapolis
Cadence,1,275,Dallas
Josh,1,224,Quebec
Crystal,4,99,Ontario
Anne,3,259,Omaha
Alice,3,10,Tallahassee
Eduardo,3,28,Rome
Renee,2,42,Innsbruck
Tony,2,59,San Antonio
Sasha,3,40,Zurich
Sage,4,267,Salt Lake City
Phillip,1,274,San Bernardino
Melania,1,191,Tallahassee
Barry,1,65,Santa Ana
Josh,3,29,Stockton
Dalia,2,17,San Diego
Cristal,3,203,Baltimore
Angela,4,297,Detroit
Karla,2,85,Paris
David,3,276,Indianapolis
Livia,2,102,Washington
Michelle,4,232,Boston
Sarah,1,108,New Orleans
Bryon,2,251,Tokyo
Jack,1,111,Innsbruck
Audrey,2,276,Toledo
Logan,2,185,Moreno Valley
Monica,2,106,Boston
Daphne,1,234,Milano
Elijah,1,223,Lakewood
Cristal,4,264,Fayetteville
Anthony,1,30,Bridgeport
Daphne,4,204,Springfield
Doug,3,181,Minneapolis
Gil,4,189,St. Louis
Jack,2,263,Tokyo
Mona,3,12,Valetta
Ron,3,164,San Jose
Javier,1,211,Toledo
Elisabeth,2,107,Cincinnati
Ivy,2,121,San Bernardino
Beatrice,2,172,Philadelphia
Logan,1,18,Paris
Benny,4,84,San Jose
Julianna,4,63,Bakersfield
Cedrick,2,163,Los Angeles
David,1,45,Baltimore
Aileen,1,57,Jacksonville
Christine,4,205,Madison
Helen,1,157,San Jose
Jacob,1,289,Fremont
Johnathan,1,91,Hollywood
Rosalyn,3,251,New York
Destiny,1,77,London
Eryn,3,152,Henderson
Caleb,2,222,Berna
Mike,4,43,Los Angeles
Valentina,1,156,Lisbon
Abdul,4,60,Milwaukee
Mason,1,234,Bridgeport
Manuel,4,43,Oakland
Julius,3,252,Huntsville
Christine,2,258,Wien
Chanelle,3,31,Nashville
Joy,3,71,Tallahassee
Aiden,2,142,Washington
Marissa,3,28,Zurich
Nicole,3,132,Stockton
Bob,1,177,Jacksonville
John,1,41,Toledo
Henry,4,141,New York
Mark,3,262,Colorado Springs
Elijah,1,156,Honolulu
Hannah,2,152,Bucharest
Rhea,1,298,Valetta
Janice,4,140,Omaha
Nick,2,116,Boston
Victoria,1,58,Colorado Springs
Aisha,3,199,Hollywood
Audrey,3,209,Venice
Josh,3,43,Fayetteville
Helen,4,17,Phoenix
Aisha,1,92,Henderson
Jane,3,93,Amarillo
Denis,1,217,Boston
Johnny,2,2,Reno
Benjamin,2,155,Prague
Anthony,1,94,Paris
Russel,4,154,Rome
Hank,2,161,Washington
Gladys,2,228,Scottsdale
Julius,4,279,Madrid
Russel,4,103,Amarillo
Moira,3,170,San Francisco
Phillip,2,40,Charlotte
Jane,3,59,Houston
Jackeline,4,205,Lakewood
Daria,3,281,Houston
Cara,2,276,Madison
Peter,3,172,Honolulu
Benny,4,52,Anaheim
Hope,1,253,Irving
Ronald,3,50,Honolulu
Evie,2,140,Quebec
Scarlett,3,243,Garland
Domenic,2,198,Zurich
Analise,1,90,London
Matt,4,19,Otawa
Colleen,3,81,Dallas
Benny,1,8,Sacramento
Ethan,1,171,Murfreesboro
Hannah,1,264,Fayetteville
Matt,3,147,Salem
Mabel,2,237,Las Vegas
Angelina,1,230,Oklahoma City
Josh,2,52,Salem
Mark,2,0,St. Louis
Tyler,3,236,New Orleans
Doug,4,299,Berlin
Marissa,1,11,Los Angeles
Brad,2,17,Philadelphia
Tom,2,17,Denver
Elise,4,196,Ontario
Teagan,3,57,Norfolk
Denny,3,76,Charlotte
Jane,1,255,Milwaukee
Anne,2,131,Wien
